PERIMETER,FCODE,DEPTCODE,PHONE_NUMB,OWNER,FDESC,ADDRESS_1,ADDRESS_2,BUILDING,ET_ID,MAP_LEGEND,Website,FNAME,Label
0,,,706-798-5572,COUNTY,PUBLIC SAFETY,2314 TOBACCO RD,,,35,83,http://www.augustaga.gov/index.aspx?NID=829,RCCI,RCCI
0,,,706-733-1647,COUNTY,AIRPORT,1775 HIGHLAND AVE,,,41,27,http://www.augustaga.gov/index.aspx?nid=486,DANIEL FIELD AIRPORT,Daniel Field Airport
0,,,706-721-3000,STATE,DFACS,520 FENWICK ST,,DFCS,27,28,http://dhs.georgia.gov/,DEPT OF FAMILY AND CHILDREN SERVICES,Dept Of Family And Children Services
0,,,706-772-2432,COUNTY,LIBRARY,101 DIAMOND LAKES WAY,,,48,29,http://www.ecgrl.org/index.php?option=com_content&view=article&id=58&Itemid=73,DIAMOND LAKES BRANCH LIBRARY,Diamond Lakes Branch Library
0,,,706-821-2406,COUNTY,COUNTY DEPARTMENT,501 GREENE ST,SUITE 304,500 BUILDING,61,30,http://www.augustaga.gov/index.aspx?nid=83,DISADVANTAGED BUSINESS ENTERPRISE,Disadvantaged Business Enterprise
0,,,706-821-1135,COUNTY,COUNTY DEPARTMENT,735 JAMES BROWN BLVD,SECOND FLOOR,AUGUSTA JUDICIAL CENTER,85,31,http://www.augustaga.gov/index.aspx?nid=1429,DISTRICT ATTORNEY,District Attorney
0,,,706-796-5040,COUNTY,COUNTY DEPARTMENT,505 TELFAIR ST,,,166,32,http://www.augustaga.gov/index.aspx?nid=113,ENGINEERING_ ADMINISTRATION,Engineering -  Administration
0,,,706-821-1706,COUNTY,COUNTY DEPARTMENT,522 GREENE ST,,,82,33,http://www.augustaga.gov/index.aspx?nid=113,ENGINEERING_ENGINEERING DIVISION,Engineering - Engineering Division
0,,,706-564-3959,COUNTY,COUNTY DEPARTMENT,1815 MARVIN GRIFFIN RD,,,81,35,http://www.augustaga.gov/index.aspx?nid=113,ENGINEERING_SIGN SHOP,Engineering - Sign Shop
0,,,706-821-1850,COUNTY,COUNTY DEPARTMENT,328 RIVERFRONT DR,,,44,36,http://www.augustaga.gov/index.aspx?nid=113,ENGINEERING_TRAFFIC,Engineering - Traffic
0,,,706-821-1850,COUNTY,COUNTY DEPARTMENT,507 TELFAIR ST,,,167,38,http://www.augustaga.gov/index.aspx?nid=113,ENGINEERING_TRAFFIC_ADMIN,Engineering - Traffic - Admin
0,,,706-821-2350,COUNTY,UGA COOPERATIVE,602 GREENE ST,,,86,40,http://www.augustaga.gov/index.aspx?NID=1263,EXTENSION SERVICE,Extension Service
0,,,706-821-2429,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 207,MUNICIPAL,62,41,http://www.augustaga.gov/index.aspx?nid=137,FINANCE,Finance
0,,,706-821-2334,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 105,MUNICIPAL,116,42,http://www.augustaga.gov/index.aspx?nid=137,FINANCE_ACCOUNTING,Finance - Accounting
0,,,706-821-2892,COUNTY,COUNTY DEPARTMENT,1568 BROAD ST,BLDG C,,73,44,http://www.augustaga.gov/index.aspx?nid=779,FLEET MANAGEMENT_ADMINISTRATION,Fleet Management - Administration
0,,,706-771-2971,COUNTY,COUNTY DEPARTMENT,2316 TOBACCO RD,,,75,45,http://www.augustaga.gov/index.aspx?nid=779,FLEET MANAGEMENT_HEAVY VEHICLES GARAGE,Fleet Management - Heavy Vehicles Garage
0,,,706-821-2589,COUNTY,COUNTY DEPARTMENT,1568 BROAD ST,BLDG B,,72,46,http://www.augustaga.gov/index.aspx?nid=779,FLEET MANAGEMENT_LIGHT VEHICLES SHOP,Fleet Management - Light Vehicles Shop
0,,,706-821-1476,COUNTY,COUNTY DEPARTMENT,402 WALTON WAY,,,76,47,http://www.augustaga.gov/index.aspx?nid=779,FLEET MANAGEMENT_SHOP,Fleet Management - Shop
0,,,706-796-5024,COUNTY,COUNTY DEPARTMENT,2027 LUMPKIN RD,,,74,48,http://www.augustaga.gov/index.aspx?nid=779,FLEET MANAGEMENT_SMALL ENGINE SHOP,Fleet Management - Small Engine Shop
0,,,706-736-6758,COUNTY,LIBRARY,1447 JACKSON RD,,,20,49,http://www.ecgrl.org/index.php?option=com_content&view=article&id=75&Itemid=92,FRIEDMAN BRANCH LIBRARY,Friedman Branch Library
0,,,1-866-754-3687,STATE,DMV,3423 MIKE PADGETT HWY,,,109,50,http://www.dds.ga.gov/locations/dllocations.aspx?csc=51,GEORGIA DEPARTMENT OF DRIVER SERVICES,Georgia Department Of Driver Services
0,,,706-721-3131,STATE,LABOR DEPT,601 GREENE ST,,UNEMPLOYMENT OFFICE,105,51,http://www.dol.state.ga.us/,GEORGIA DEPARTMENT OF LABOR,Georgia Department Of Labor
0,,,1-888-660-5890,PRIVATE,PAYMENT CENTER,1607 WALTON WAY,,,111,52,http://www.georgiapower.com/,GEORGIA POWER COMPANY,Georgia Power Company
0,,,706-721-5800,COUNTY,PUBLIC HEALTH,950 LANEY WALKER BLVD,,,98,53,http://ecphd.com/common/content.asp?PAGE=521,HEALTH DEPARTMENT,Health Department
0,,,706-790-0661,COUNTY,PUBLIC HEALTH,2420 WINDSOR SPRING RD,,,99,54,http://ecphd.com/common/content.asp?PAGE=521,HEALTH DEPARTMENT,Health Department
0,,,706-667-4234,COUNTY,PUBLIC HEALTH,1916 NORTH LEG RD,BLDG K,,29,55,http://ecphd.com/common/content.asp?PAGE=521,HEALTH DEPARTMENT_ENVIRONMENTAL HEALTH,Health Department - Environmental Health
0,,,706-667-4335,COUNTY,PUBLIC HEALTH,1916 NORTH LEG RD,BLDG E,,97,56,http://ecphd.com/common/content.asp?PAGE=521,HEALTH DEPTARTMENT_VITAL RECORDS,Health Deptartment - Vital Records
0,,,706-790-1185,PRIVATE,CEMETERY,2700 DEANS BRIDGE RD,,,4,57,http://www.hillcrestmemorialgeorgia.com/,HILLCREST MEMORIAL CEMETERY,Hillcrest Memorial Cemetery
0,,,706-821-1797,COUNTY,COUNTY DEPARTMENT,925 LANEY WALKER BLVD,,,63,58,http://www.augustaga.gov/index.aspx?nid=68,HOUSING AND ECONOMIC DEVELOPMENT,Housing And Economic Development
0,,,706-821-2303,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 601,MUNICIPAL,92,59,http://www.augustaga.gov/index.aspx?nid=643,HUMAN RESOURCES,Human Resources
0,,,706-821-2522,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM A-101,MUNICIPAL,53,60,http://www.augustaga.gov/index.aspx?nid=114,INFORMATION TECHNOLOGY,Information Technology
0,,,706-722-3521,COUNTY,JAMES BROWN ARENA,601 SEVENTH ST,,,23,62,http://www.augustaentertainmentcomplex.com/,JAMES BROWN ARENA,James Brown Arena
0,,,706-793-2020,COUNTY,LIBRARY,1927 LUMPKIN RD,,,22,63,http://www.ecgrl.org/index.php?option=com_content&view=article&id=76&Itemid=93,JEFF MAXWELL BRANCH LIBRARY,Jeff Maxwell Branch Library
0,,,706-592-4531,PRIVATE,PAYMENT CENTER,3106 HWY 88,,,110,64,http://www.jec.coop/,JEFFERSON ENERGY COOPERATIVE,Jefferson Energy Cooperative
0,,,706-821-2300,COUNTY,COUNTY DEPARTMENT,735 JAMES BROWN BLVD,,AUGUSTA JUDICIAL CENTER,156,65,http://www.augustaga.gov/index.aspx?nid=1442,JUDICIAL CENTER,Judicial Center
0,,,706-736-7889,COUNTY,AUGUSTA GREENJACKETS,30 MILLEDGE RD,,,12,66,http://www.milb.com/index.jsp?sid=t478,LAKE OLMSTEAD STADIUM,Lake Olmstead Stadium
0,,,706-842-5550,COUNTY,COUNTY DEPARTMENT,501 GREENE ST,SUITE 302,500 BUILDING,56,67,http://www.augustaga.gov/index.aspx?nid=805,LAW DEPARTMENT,Law Department
0,,,706-821-2339,COUNTY,COUNTY DEPARTMENT,735 JAMES BROWN BLVD,SECOND FLOOR,AUGUSTA JUDICIAL CENTER,117,68,http://www.augustaga.gov/,LAW LIBRARY,Law Library
0,,,706-821-2600,COUNTY,LIBRARY,902 GREENE ST,,,21,69,http://www.ecgrl.org/index.php?option=com_content&view=article&id=57&Itemid=74,LIBRARY MAIN,Library Main
0,,,706-312-5050,COUNTY,COUNTY DEPARTMENT,1815 MARVIN GRIFFIN RD,,,65,76,http://www.augustaga.gov/index.aspx?nid=290,PLANNING AND DEVELOPMENT_LICENSE AND INSPECTION,Planning And Development - License And Inspection
0,,,706-821-1746,COUNTY,CEMETERY,702 THIRD ST,,,1,70,http://www.augustaga.gov/index.aspx?NID=352,MAGNOLIA CEMETERY,Magnolia Cemetery
0,,,706-821-2368,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 704,MUNICIPAL,66,71,http://www.augustaga.gov/index.aspx?nid=516,MARSHAL,Marshal
0,,,706-722-5623,COUNTY,COUNTY DEPARTMENT,1700 GORDON HWY,,REGENCY MALL,93,74,http://www.augustaga.gov/index.aspx?nid=516,MARSHAL SUBSTATION,Marshal Substation
0,,,706-821-1831,COUNTY,MAYOR,530 GREENE ST,ROOM 806,MUNICIPAL,94,75,http://www.augustaga.gov/index.aspx?nid=194,MAYOR,Mayor
0,,,706-821-1796,COUNTY,COUNTY DEPARTMENT,525 TELFAIR ST,,,28,77,http://www.augustaga.gov/index.aspx?nid=290,PLANNING AND DEVELOPMENT_PLANNING DIVISION,Planning And Development - Planning Division
0,,,706-821-2434,COUNTY,COURT,735 JAMES BROWN BLVD,FIRST FLOOR,AUGUSTA JUDICIAL CENTER,68,78,http://www.augustaga.gov/index.aspx?nid=197,PROBATE COURT,Probate Court
0,,,706-721-1122,STATE,PROBATION OFFICE,901 GREENE ST,,,149,79,http://www.dcor.state.ga.us/,PROBATION OFFICE_FELONY,Probation Office - Felony
0,,,706-823-2195,PRIVATE,PROBATION OFFICE,398 WALTON WAY,,,43,80,http://www.sentrak.com/probation_and_court/,PROBATION OFFICE_MISDEMEANOR,Probation Office - Misdemeanor
0,,,706-821-2422,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 605,MUNICIPAL,69,81,http://www.augustaga.gov/index.aspx?nid=679,PROCUREMENT,Procurement
0,,,706-821-1629,COUNTY,COUNTY DEPARTMENT,1941 PHINIZY RD,,PHINIZY RD JAIL,87,91,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_FACILITIES MANAGEMENT","Recreation, Parks, And Facilities - Facilities Management"
0,,,706-821-2421,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,,MUNICIPAL,90,92,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_FACILITIES MANAGEMENT","Recreation, Parks, And Facilities - Facilities Management"
0,,,706-821-1249,COUNTY,COUNTY DEPARTMENT,401 WALTON WAY,,LAW ENFORCEMENT CENTER,91,93,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_FACILITIES MANAGEMENT","Recreation, Parks, And Facilities - Facilities Management"
0,,,706-821-2805,COUNTY,COUNTY DEPARTMENT,1710 HIGHLAND AVE,,,150,86,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_CONSTRUCTION SHOP","Recreation, Parks, And Facilities - Construction Shop"
0,,,706-771-2967,COUNTY,COUNTY DEPARTMENT,2316 TOBACCO RD,,,36,34,http://www.augustaga.gov/index.aspx?nid=113,ENGINEERING_MAINTENANCE,Engineering - Maintenance
0,,,706-821-1874,COUNTY,COUNTY DEPARTMENT,1157 FIFTH ST,,,33,94,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_RECORDS RETENTION","Recreation, Parks, And Facilities - Records Retention"
0,,,706-736-0715,COUNTY,COUNTY DEPARTMENT,1738 PINETREE RD,,PENDLETON KING PRK OFFICE,151,88,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_FACILITIES MANAGEMENT","Recreation, Parks, And Facilities - Facilities Management"
0,,,706-821-1746,COUNTY,COUNTY DEPARTMENT,702 THIRD ST,,MAGNOLIA CEMETERY,152,89,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_FACILITIES MANAGEMENT","Recreation, Parks, And Facilities - Facilities Management"
0,,,706-821-1748,COUNTY,COUNTY DEPARTMENT,120 WATKINS ST,,CEDAR GROVE CEMETERY,153,90,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_FACILITIES MANAGEMENT","Recreation, Parks, And Facilities - Facilities Management"
0,,,706-821-1670,COUNTY,COUNTY DEPARTMENT,1559 EAGLES WAY,,,37,37,http://www.augustaga.gov/index.aspx?nid=113,ENGINEERING_TRAFFIC ENGINEERING,Engineering - Traffic Engineering
0,,,706-821-1721,COUNTY,COUNTY DEPARTMENT,1535 FENWICK ST,,,38,82,http://www.augustaga.gov/index.aspx?nid=232,PUBLIC TRANSIT OFFICE,Public Transit Office
0,,,706-796-5025,COUNTY,COUNTY DEPARTMENT,2027 LUMPKIN RD,,,32,84,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_ADMINISTRATION","Recreation, Parks, And Facilities - Administration"
0,,,706-261-0424,COUNTY,COUNTY DEPARTMENT,3157 DAMASCUS RD,,,155,85,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_AQUATICS CENTER","Recreation, Parks, And Facilities - Aquatics Center"
0,,,706-821-1754,COUNTY,COUNTY DEPARTMENT,836 REYNOLDS ST,,AUGUSTA COMMON,71,95,http://www.augustaga.gov/index.aspx?nid=645,"RECREATION, PARKS, AND FACILITIES_RIVERWALK SP EVENTS","Recreation, Parks, And Facilities - Riverwalk Sp Events"
0,,,706-821-2301,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 217,MUNICIPAL,70,96,http://www.augustaga.gov/index.aspx?nid=291,RISK MANAGEMENT,Risk Management
0,,,706-821-1000,COUNTY,PUBLIC SAFETY,401 WALTON WAY,,LAW ENFORCEMENT CENTER,13,98,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_LAW ENFORCEMENT CENTER,Sheriff - Law Enforcement Center
0,,,706-821-1101,COUNTY,PUBLIC SAFETY,1941 PHINIZY RD,,PHINIZY JAIL,16,99,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_CHARLES B WEBSTER DETENTION CTR,Sheriff - Charles B Webster Detention Ctr
0,,,706-842-1795,COUNTY,PUBLIC SAFETY,912 EIGHTH ST,,,123,100,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_CID_CRIME SCENE TECHNICIANS,Sheriff - CID - Crime Scene Technicians
0,,,706-821-1400,COUNTY,PUBLIC SAFETY,346 WATKINS ST,,,47,101,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_NARCOTICS,Sheriff - Narcotics
0,,,706-821-1485,COUNTY,PUBLIC SAFETY,2803 WRIGHTSBORO RD,,DANIEL VILLAGE,46,102,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_NORTH PRECINCT SUBSTATION,Sheriff - North Precinct Substation
0,,,706-821-1700,COUNTY,PUBLIC SAFETY,402 WALTON WAY,,,122,103,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_QUATERMASTER/PROPERTY/EOD GARAGE,Sheriff - Quatermaster/Property/EOD Garage
0,,,706-722-2096,COUNTY,PUBLIC SAFETY,724 GREENE ST,,ST JOHN'S TOWERS,125,104,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,NONE,COUNTY,PUBLIC SAFETY,843 LANEY WALKER BLVD,,ARMSTRONG GALLERIA,126,105,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-821-2829,COUNTY,PUBLIC SAFETY,1014 ELEVENTH AVE,,SAVANNAH PLACE REC OFFICE,127,106,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,NONE,COUNTY,PUBLIC SAFETY,807 EISENHOWER DR,,EISENHOWER SUBSTATION,128,107,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-667-9302,COUNTY,PUBLIC SAFETY,3435 WRIGHTSBORO RD,,KROGER,129,108,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,NONE,COUNTY,PUBLIC SAFETY,719 FLEMING AVE,,SAND HILLS COMMUNITY CTR,130,109,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-738-8586,COUNTY,PUBLIC SAFETY,2933 HENRY ST,,PINE HILL APARTMENTS #42,131,110,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-738-0781,COUNTY,PUBLIC SAFETY,2101 WALTON WAY,,BON AIR APARTMENTS,132,111,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-863-4715,COUNTY,PUBLIC SAFETY,1049 STEVENS CREEK RD,,HOMEWOOD SUITES,133,112,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,NONE,COUNTY,PUBLIC SAFETY,AUGUSTA WEST PARKWAY,,HILLCREEK SUB GUARD SHACK,134,113,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,NONE,COUNTY,PUBLIC SAFETY,725 BROAD ST,,AUGUSTA CHRONICLE,135,114,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,NONE,COUNTY,PUBLIC SAFETY,700 BLK ELLIS ST,,ELLIS STREET SUB,136,115,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-261-1120,COUNTY,PUBLIC SAFETY,3645 LONDON BLVD,,SAFE HAVEN,137,116,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-790-9161,COUNTY,PUBLIC SAFETY,2810 1/2 THOMAS LN,,REGENCY VILLAGE OFFICE,138,117,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-792-4050,COUNTY,PUBLIC SAFETY,2207-D SOUTHGATE DR,,PROVIDENCE PLACE APARTMTS,139,118,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-796-4098,COUNTY,PUBLIC SAFETY,2027 LUMPKIN RD,,RECREATION DEPT OFFICE,140,119,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-790-7363,COUNTY,PUBLIC SAFETY,3317 MIKE PADGETT HWY,,BROOME'S TOOL RENTALS,141,120,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,NONE,COUNTY,PUBLIC SAFETY,2564 LUMPKIN RD,,GLENWOOD II APTS (#D-26),142,121,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-796-3799,COUNTY,PUBLIC SAFETY,3204 PEACH ORCHARD RD,,WALGREEN DRUG STORE,143,122,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-798-3243,COUNTY,PUBLIC SAFETY,2243 ROSIER RD,,SALEM ARMS APT OFFICE,144,123,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-790-1805,COUNTY,PUBLIC SAFETY,3647 KARLEEN RD,,JAMESTOWN COMMUNITY CTR,145,124,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-592-3109,COUNTY,PUBLIC SAFETY,2241 BROWN RD,,BROWN ROAD SELF STORAGE,146,125,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-592-2961,COUNTY,PUBLIC SAFETY,2530 HWY 88,,HEPHZIBAH CITY HALL,147,126,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-722-4502,COUNTY,PUBLIC SAFETY,201 TELFAIR ST,,RIVER GLEN APARTMENTS,148,127,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_RD PATROL SATELLITE SUBSTATION,Sheriff - Rd Patrol Satellite Substation
0,,,706-821-1260,COUNTY,PUBLIC SAFETY,1631 GORDON HWY,,SOUTHGATE PLAZA,45,128,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_SOUTH PRECINCT SUBSTATION,Sheriff - South Precinct Substation
0,,,706-592-6560,COUNTY,PUBLIC SAFETY,2098 GREENLAND RD,,,124,129,http://www.augustaga.gov/index.aspx?nid=294,SHERIFF_TRAINING DIVISION,Sheriff - Training Division
0,,,706-731-0685,FEDERAL,SOCIAL SECURITY,115 ROBERT C DANIEL PKWY,,,100,130,http://www.ssa.gov/atlanta/southeast/ga/georgia.htm,SOCIAL SECURITY ADMINISTRATION,Social Security Administration
0,,,706-592-3200,COUNTY,COUNTY DEPARTMENT,4330 DEANS BRIDGE RD,,LANDFILL,25,39,http://www.augustaga.gov/index.aspx?nid=657,ENVIRONMENTAL SERVICES - LANDFILL,Environmental Services  -  Landfill
